

Software Version,3.11.19



Experiment File Path:,C:\Users\cremerlab\Desktop\griffin\useless_expression\Experiment2_SingleKOs.xpt
Protocol File Path:,C:\Users\cremerlab\Desktop\griffin\useless_expression\growth_curves.prt



Plate Number,Plate 4
Date,8/31/2021
Time,4:42:11 PM
Reader Type:,Epoch 2
Reader Serial Number:,2107064
Reading Type,Reader

Procedure Details

Plate Type,96 WELL PLATE (Use plate lid)
Eject plate on completion,
Set Temperature,Setpoint 37°C, Gradient 0 °C
,Preheat before moving to next step
Start Kinetic,Runtime 12:00:00 (HH:MM:SS), Interval 0:07:32, 96 Reads
    Shake,Linear: Continuous
,Frequency: 1096 cpm (1 mm)
    Read,OD600
,Absorbance Endpoint
,B2..G11
,Wavelengths:  600
,Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8
End Kinetic,

OD600:600

Time,T° OD600:600,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
5:31:00,37.0,,,,,,,,,,,,,,0.079,0.079,0.079,0.078,0.078,0.079,0.081,0.081,0.080,0.079,,,0.080,0.093,0.092,0.102,0.079,0.079,0.079,0.080,0.080,0.080,,,0.079,0.092,0.090,0.101,0.081,0.080,0.080,0.078,0.079,0.078,,,0.081,0.092,0.090,0.101,0.079,0.080,0.080,0.081,0.080,0.081,,,0.079,0.093,0.092,0.102,0.081,0.081,0.079,0.081,0.081,0.079,,,0.080,0.079,0.080,0.082,0.079,0.081,0.079,0.079,0.080,0.079,,,,,,,,,,,,,
5:38:32,37.0,,,,,,,,,,,,,,0.079,0.079,0.079,0.078,0.078,0.079,0.081,0.081,0.080,0.079,,,0.080,0.093,0.092,0.103,0.078,0.079,0.079,0.080,0.080,0.080,,,0.079,0.093,0.090,0.112,0.081,0.080,0.080,0.079,0.079,0.078,,,0.081,0.092,0.091,0.102,0.079,0.080,0.080,0.081,0.080,0.081,,,0.080,0.093,0.092,0.104,0.081,0.081,0.079,0.081,0.081,0.079,,,0.080,0.079,0.080,0.082,0.079,0.081,0.079,0.080,0.080,0.079,,,,,,,,,,,,,
5:46:04,37.0,,,,,,,,,,,,,,0.079,0.079,0.079,0.079,0.078,0.079,0.080,0.081,0.081,0.079,,,0.080,0.094,0.093,0.104,0.078,0.079,0.079,0.080,0.080,0.080,,,0.079,0.094,0.091,0.103,0.081,0.081,0.080,0.078,0.079,0.078,,,0.081,0.093,0.091,0.104,0.079,0.080,0.080,0.081,0.080,0.080,,,0.079,0.094,0.093,0.105,0.081,0.081,0.079,0.081,0.081,0.079,,,0.080,0.079,0.080,0.082,0.079,0.081,0.079,0.079,0.080,0.079,,,,,,,,,,,,,
5:53:36,37.0,,,,,,,,,,,,,,0.079,0.080,0.079,0.079,0.078,0.079,0.080,0.081,0.081,0.079,,,0.080,0.095,0.093,0.106,0.079,0.079,0.079,0.080,0.080,0.080,,,0.079,0.094,0.091,0.105,0.081,0.081,0.080,0.079,0.079,0.078,,,0.081,0.094,0.092,0.105,0.079,0.081,0.080,0.081,0.080,0.081,,,0.080,0.094,0.093,0.107,0.081,0.081,0.079,0.081,0.081,0.079,,,0.080,0.079,0.080,0.083,0.079,0.081,0.079,0.080,0.080,0.080,,,,,,,,,,,,,
6:01:08,37.0,,,,,,,,,,,,,,0.079,0.080,0.079,0.079,0.078,0.079,0.080,0.081,0.081,0.079,,,0.080,0.096,0.094,0.107,0.079,0.079,0.079,0.080,0.080,0.080,,,0.079,0.095,0.092,0.106,0.081,0.080,0.080,0.078,0.079,0.078,,,0.082,0.095,0.092,0.107,0.079,0.081,0.080,0.081,0.080,0.080,,,0.079,0.095,0.094,0.108,0.081,0.081,0.079,0.081,0.081,0.079,,,0.080,0.079,0.080,0.082,0.079,0.081,0.079,0.079,0.080,0.079,,,,,,,,,,,,,
6:08:40,37.0,,,,,,,,,,,,,,0.079,0.080,0.079,0.079,0.078,0.079,0.081,0.081,0.080,0.079,,,0.080,0.097,0.094,0.109,0.079,0.079,0.079,0.080,0.080,0.081,,,0.079,0.096,0.092,0.108,0.081,0.081,0.080,0.079,0.079,0.078,,,0.081,0.096,0.093,0.108,0.079,0.081,0.081,0.081,0.080,0.081,,,0.080,0.096,0.094,0.110,0.081,0.081,0.079,0.081,0.081,0.079,,,0.080,0.079,0.080,0.082,0.079,0.082,0.079,0.080,0.080,0.080,,,,,,,,,,,,,
6:16:12,37.0,,,,,,,,,,,,,,0.079,0.080,0.079,0.078,0.078,0.079,0.080,0.081,0.081,0.079,,,0.080,0.098,0.095,0.111,0.078,0.079,0.079,0.080,0.080,0.080,,,0.079,0.097,0.093,0.111,0.081,0.080,0.080,0.079,0.079,0.078,,,0.081,0.097,0.093,0.110,0.079,0.081,0.080,0.081,0.080,0.081,,,0.079,0.097,0.095,0.112,0.081,0.081,0.079,0.081,0.081,0.079,,,0.080,0.079,0.080,0.082,0.079,0.081,0.079,0.079,0.080,0.079,,,,,,,,,,,,,
6:23:44,37.0,,,,,,,,,,,,,,0.079,0.080,0.079,0.079,0.078,0.079,0.080,0.081,0.080,0.079,,,0.080,0.099,0.096,0.113,0.079,0.079,0.079,0.080,0.080,0.080,,,0.079,0.098,0.094,0.112,0.081,0.081,0.080,0.079,0.079,0.078,,,0.081,0.098,0.094,0.112,0.079,0.081,0.080,0.081,0.080,0.081,,,0.079,0.099,0.096,0.114,0.081,0.081,0.079,0.081,0.081,0.079,,,0.080,0.079,0.080,0.082,0.079,0.081,0.079,0.079,0.079,0.079,,,,,,,,,,,,,
6:31:16,37.0,,,,,,,,,,,,,,0.079,0.080,0.079,0.078,0.078,0.079,0.081,0.081,0.081,0.079,,,0.080,0.100,0.097,0.115,0.078,0.079,0.079,0.080,0.080,0.080,,,0.079,0.100,0.095,0.115,0.081,0.081,0.080,0.079,0.079,0.078,,,0.081,0.100,0.095,0.115,0.079,0.081,0.080,0.081,0.080,0.081,,,0.080,0.100,0.097,0.116,0.081,0.081,0.079,0.081,0.081,0.079,,,0.080,0.079,0.080,0.082,0.079,0.081,0.079,0.079,0.080,0.079,,,,,,,,,,,,,
6:38:48,37.0,,,,,,,,,,,,,,0.079,0.080,0.079,0.078,0.078,0.079,0.081,0.081,0.081,0.079,,,0.080,0.102,0.098,0.117,0.078,0.079,0.079,0.080,0.080,0.080,,,0.079,0.101,0.096,0.117,0.081,0.081,0.080,0.078,0.079,0.078,,,0.082,0.101,0.096,0.117,0.079,0.082,0.080,0.081,0.080,0.081,,,0.080,0.101,0.098,0.118,0.081,0.081,0.079,0.081,0.081,0.079,,,0.080,0.079,0.080,0.082,0.079,0.081,0.079,0.080,0.080,0.079,,,,,,,,,,,,,
6:46:20,37.0,,,,,,,,,,,,,,0.079,0.080,0.079,0.079,0.078,0.079,0.080,0.081,0.081,0.079,,,0.080,0.103,0.099,0.120,0.078,0.079,0.079,0.080,0.080,0.080,,,0.079,0.103,0.097,0.119,0.081,0.081,0.080,0.079,0.079,0.078,,,0.082,0.102,0.097,0.120,0.079,0.082,0.080,0.081,0.080,0.080,,,0.080,0.103,0.099,0.121,0.081,0.081,0.079,0.081,0.081,0.079,,,0.080,0.079,0.080,0.082,0.079,0.081,0.079,0.079,0.080,0.079,,,,,,,,,,,,,
6:53:52,37.0,,,,,,,,,,,,,,0.079,0.080,0.079,0.079,0.078,0.079,0.080,0.081,0.081,0.080,,,0.080,0.105,0.100,0.123,0.079,0.079,0.079,0.080,0.080,0.081,,,0.079,0.105,0.098,0.122,0.081,0.080,0.080,0.079,0.079,0.078,,,0.081,0.104,0.098,0.122,0.079,0.082,0.081,0.081,0.080,0.081,,,0.080,0.104,0.100,0.124,0.081,0.081,0.079,0.081,0.081,0.079,,,0.080,0.079,0.080,0.082,0.080,0.081,0.079,0.079,0.080,0.080,,,,,,,,,,,,,
7:01:24,37.0,,,,,,,,,,,,,,0.079,0.080,0.080,0.079,0.078,0.079,0.080,0.081,0.081,0.079,,,0.080,0.106,0.101,0.126,0.079,0.079,0.079,0.080,0.080,0.080,,,0.079,0.106,0.099,0.125,0.081,0.081,0.080,0.079,0.079,0.078,,,0.082,0.105,0.100,0.126,0.079,0.082,0.081,0.081,0.080,0.081,,,0.080,0.105,0.101,0.128,0.081,0.081,0.079,0.081,0.081,0.079,,,0.080,0.079,0.080,0.082,0.080,0.081,0.079,0.080,0.080,0.080,,,,,,,,,,,,,
7:08:56,37.1,,,,,,,,,,,,,,0.080,0.080,0.079,0.079,0.078,0.079,0.080,0.081,0.081,0.079,,,0.080,0.108,0.102,0.129,0.079,0.079,0.079,0.080,0.080,0.080,,,0.079,0.109,0.101,0.137,0.081,0.081,0.080,0.078,0.079,0.078,,,0.081,0.107,0.101,0.129,0.079,0.082,0.081,0.081,0.080,0.080,,,0.080,0.107,0.102,0.130,0.081,0.081,0.079,0.081,0.081,0.079,,,0.080,0.079,0.080,0.082,0.079,0.081,0.079,0.079,0.080,0.079,,,,,,,,,,,,,
7:16:28,37.0,,,,,,,,,,,,,,0.080,0.080,0.079,0.079,0.078,0.079,0.081,0.081,0.081,0.080,,,0.080,0.111,0.104,0.133,0.079,0.079,0.079,0.080,0.080,0.081,,,0.079,0.111,0.102,0.133,0.081,0.081,0.080,0.078,0.079,0.078,,,0.082,0.109,0.103,0.133,0.080,0.082,0.080,0.081,0.080,0.081,,,0.080,0.109,0.104,0.134,0.081,0.081,0.079,0.081,0.081,0.079,,,0.080,0.079,0.080,0.083,0.080,0.082,0.079,0.080,0.080,0.079,,,,,,,,,,,,,
7:24:00,37.0,,,,,,,,,,,,,,0.080,0.080,0.079,0.079,0.078,0.079,0.080,0.081,0.081,0.079,,,0.080,0.113,0.106,0.137,0.079,0.079,0.079,0.080,0.080,0.080,,,0.079,0.113,0.103,0.137,0.081,0.080,0.080,0.079,0.079,0.078,,,0.082,0.111,0.104,0.137,0.079,0.082,0.080,0.081,0.080,0.081,,,0.080,0.111,0.105,0.138,0.081,0.081,0.079,0.081,0.081,0.079,,,0.080,0.079,0.080,0.082,0.079,0.082,0.079,0.080,0.080,0.079,,,,,,,,,,,,,
7:31:32,37.0,,,,,,,,,,,,,,0.080,0.080,0.080,0.079,0.078,0.079,0.080,0.081,0.081,0.079,,,0.080,0.116,0.107,0.141,0.078,0.079,0.079,0.080,0.080,0.080,,,0.079,0.116,0.105,0.141,0.081,0.081,0.080,0.079,0.079,0.078,,,0.082,0.113,0.106,0.142,0.080,0.083,0.081,0.081,0.080,0.081,,,0.080,0.113,0.107,0.143,0.081,0.081,0.079,0.081,0.081,0.079,,,0.080,0.080,0.080,0.082,0.079,0.082,0.079,0.080,0.080,0.080,,,,,,,,,,,,,
7:39:04,37.0,,,,,,,,,,,,,,0.080,0.080,0.080,0.079,0.078,0.079,0.080,0.081,0.081,0.079,,,0.080,0.118,0.109,0.146,0.079,0.079,0.079,0.080,0.080,0.080,,,0.079,0.118,0.106,0.146,0.081,0.081,0.080,0.078,0.079,0.078,,,0.082,0.115,0.107,0.146,0.080,0.083,0.081,0.081,0.080,0.081,,,0.080,0.116,0.108,0.147,0.081,0.081,0.079,0.081,0.081,0.079,,,0.080,0.079,0.080,0.082,0.079,0.082,0.079,0.080,0.080,0.079,,,,,,,,,,,,,
7:46:36,37.0,,,,,,,,,,,,,,0.080,0.080,0.080,0.079,0.078,0.079,0.080,0.081,0.081,0.079,,,0.080,0.121,0.111,0.151,0.079,0.079,0.079,0.080,0.080,0.080,,,0.079,0.121,0.108,0.151,0.081,0.081,0.080,0.078,0.079,0.078,,,0.082,0.118,0.109,0.152,0.080,0.083,0.080,0.081,0.080,0.081,,,0.080,0.118,0.110,0.152,0.081,0.081,0.079,0.081,0.081,0.078,,,0.080,0.079,0.080,0.082,0.080,0.082,0.079,0.079,0.080,0.080,,,,,,,,,,,,,
7:54:08,37.0,,,,,,,,,,,,,,0.080,0.080,0.079,0.079,0.078,0.079,0.080,0.081,0.081,0.080,,,0.081,0.124,0.113,0.157,0.079,0.079,0.079,0.080,0.080,0.080,,,0.079,0.125,0.110,0.157,0.081,0.081,0.080,0.078,0.079,0.078,,,0.082,0.121,0.110,0.157,0.080,0.083,0.081,0.081,0.080,0.081,,,0.080,0.121,0.113,0.158,0.081,0.081,0.079,0.081,0.081,0.079,,,0.080,0.079,0.080,0.082,0.079,0.081,0.079,0.080,0.080,0.080,,,,,,,,,,,,,
8:01:40,37.0,,,,,,,,,,,,,,0.080,0.080,0.080,0.079,0.078,0.079,0.080,0.081,0.081,0.080,,,0.080,0.128,0.114,0.162,0.079,0.079,0.079,0.080,0.080,0.081,,,0.079,0.128,0.112,0.163,0.081,0.081,0.080,0.079,0.079,0.078,,,0.082,0.124,0.113,0.163,0.080,0.083,0.080,0.081,0.080,0.081,,,0.080,0.125,0.115,0.164,0.081,0.081,0.079,0.081,0.081,0.079,,,0.080,0.079,0.081,0.082,0.080,0.081,0.079,0.080,0.080,0.079,,,,,,,,,,,,,
8:09:12,37.0,,,,,,,,,,,,,,0.080,0.079,0.080,0.079,0.078,0.079,0.081,0.081,0.081,0.079,,,0.080,0.131,0.116,0.169,0.079,0.079,0.079,0.080,0.080,0.080,,,0.079,0.131,0.114,0.168,0.081,0.081,0.080,0.079,0.079,0.078,,,0.082,0.128,0.114,0.169,0.080,0.083,0.081,0.081,0.080,0.081,,,0.080,0.128,0.117,0.169,0.081,0.081,0.079,0.081,0.081,0.079,,,0.080,0.079,0.080,0.082,0.079,0.082,0.079,0.080,0.080,0.079,,,,,,,,,,,,,
8:16:44,37.0,,,,,,,,,,,,,,0.080,0.080,0.079,0.079,0.078,0.079,0.080,0.081,0.081,0.079,,,0.080,0.135,0.118,0.175,0.079,0.079,0.079,0.080,0.080,0.080,,,0.079,0.135,0.116,0.175,0.081,0.081,0.080,0.078,0.079,0.078,,,0.082,0.132,0.117,0.176,0.080,0.083,0.081,0.081,0.080,0.081,,,0.080,0.132,0.120,0.176,0.081,0.081,0.079,0.081,0.081,0.079,,,0.080,0.079,0.080,0.082,0.080,0.081,0.079,0.080,0.080,0.080,,,,,,,,,,,,,
8:24:16,37.0,,,,,,,,,,,,,,0.080,0.080,0.080,0.079,0.078,0.079,0.080,0.081,0.081,0.080,,,0.080,0.138,0.120,0.182,0.079,0.079,0.079,0.080,0.080,0.080,,,0.079,0.138,0.118,0.181,0.081,0.081,0.080,0.079,0.079,0.078,,,0.082,0.136,0.119,0.182,0.080,0.084,0.081,0.081,0.080,0.081,,,0.080,0.136,0.123,0.182,0.081,0.081,0.079,0.081,0.081,0.079,,,0.080,0.080,0.080,0.082,0.080,0.082,0.079,0.080,0.080,0.080,,,,,,,,,,,,,
8:31:48,37.0,,,,,,,,,,,,,,0.080,0.079,0.079,0.079,0.078,0.079,0.080,0.081,0.081,0.080,,,0.080,0.142,0.123,0.189,0.079,0.079,0.079,0.080,0.080,0.080,,,0.079,0.142,0.121,0.188,0.081,0.081,0.080,0.079,0.079,0.078,,,0.082,0.140,0.122,0.189,0.080,0.084,0.081,0.081,0.080,0.081,,,0.080,0.140,0.126,0.189,0.081,0.081,0.079,0.081,0.081,0.079,,,0.080,0.079,0.080,0.082,0.079,0.081,0.079,0.080,0.080,0.080,,,,,,,,,,,,,
8:39:20,37.0,,,,,,,,,,,,,,0.080,0.079,0.080,0.079,0.078,0.079,0.080,0.081,0.081,0.079,,,0.080,0.146,0.126,0.196,0.079,0.079,0.079,0.079,0.080,0.080,,,0.079,0.146,0.124,0.195,0.081,0.081,0.080,0.078,0.079,0.078,,,0.082,0.144,0.125,0.197,0.080,0.084,0.080,0.081,0.080,0.081,,,0.080,0.144,0.128,0.197,0.081,0.081,0.079,0.081,0.081,0.079,,,0.080,0.079,0.080,0.082,0.079,0.082,0.079,0.080,0.080,0.080,,,,,,,,,,,,,
8:46:52,37.0,,,,,,,,,,,,,,0.080,0.079,0.079,0.079,0.079,0.079,0.080,0.081,0.081,0.080,,,0.080,0.150,0.129,0.203,0.079,0.079,0.079,0.080,0.080,0.080,,,0.079,0.150,0.127,0.203,0.081,0.081,0.080,0.079,0.079,0.078,,,0.082,0.149,0.128,0.204,0.080,0.084,0.081,0.081,0.080,0.081,,,0.080,0.148,0.131,0.204,0.081,0.081,0.079,0.081,0.081,0.079,,,0.080,0.079,0.080,0.082,0.079,0.082,0.079,0.080,0.080,0.080,,,,,,,,,,,,,
8:54:24,37.0,,,,,,,,,,,,,,0.080,0.080,0.080,0.079,0.078,0.079,0.080,0.081,0.081,0.080,,,0.081,0.154,0.132,0.211,0.079,0.079,0.079,0.080,0.080,0.080,,,0.080,0.154,0.130,0.211,0.081,0.081,0.080,0.079,0.079,0.078,,,0.082,0.153,0.131,0.212,0.080,0.084,0.081,0.081,0.080,0.081,,,0.080,0.153,0.135,0.211,0.081,0.081,0.079,0.081,0.081,0.079,,,0.080,0.079,0.080,0.083,0.079,0.081,0.079,0.080,0.080,0.080,,,,,,,,,,,,,
9:01:56,37.0,,,,,,,,,,,,,,0.080,0.079,0.080,0.079,0.078,0.079,0.080,0.081,0.081,0.080,,,0.081,0.158,0.135,0.219,0.079,0.079,0.079,0.080,0.080,0.081,,,0.080,0.158,0.133,0.219,0.081,0.081,0.080,0.079,0.079,0.078,,,0.082,0.158,0.134,0.220,0.080,0.084,0.080,0.082,0.080,0.081,,,0.080,0.158,0.137,0.220,0.081,0.081,0.079,0.081,0.081,0.079,,,0.080,0.080,0.080,0.083,0.080,0.082,0.079,0.080,0.080,0.080,,,,,,,,,,,,,
9:09:28,37.0,,,,,,,,,,,,,,0.080,0.079,0.080,0.079,0.078,0.079,0.080,0.081,0.081,0.079,,,0.080,0.162,0.138,0.227,0.079,0.079,0.079,0.080,0.080,0.080,,,0.079,0.162,0.136,0.227,0.081,0.081,0.080,0.079,0.079,0.078,,,0.082,0.162,0.137,0.229,0.080,0.084,0.081,0.081,0.080,0.081,,,0.080,0.162,0.140,0.227,0.081,0.081,0.079,0.081,0.081,0.079,,,0.080,0.079,0.080,0.082,0.079,0.081,0.079,0.080,0.080,0.080,,,,,,,,,,,,,
9:17:00,37.0,,,,,,,,,,,,,,0.080,0.080,0.080,0.079,0.079,0.079,0.080,0.081,0.081,0.079,,,0.081,0.166,0.141,0.236,0.079,0.079,0.079,0.080,0.080,0.080,,,0.079,0.166,0.140,0.235,0.082,0.081,0.080,0.079,0.079,0.078,,,0.082,0.166,0.140,0.237,0.080,0.084,0.080,0.081,0.080,0.081,,,0.080,0.166,0.143,0.236,0.081,0.081,0.079,0.081,0.081,0.078,,,0.080,0.079,0.080,0.083,0.080,0.082,0.079,0.080,0.080,0.080,,,,,,,,,,,,,
9:24:32,37.0,,,,,,,,,,,,,,0.080,0.080,0.080,0.079,0.078,0.079,0.080,0.081,0.081,0.079,,,0.080,0.170,0.144,0.244,0.079,0.079,0.079,0.080,0.080,0.080,,,0.079,0.170,0.143,0.244,0.082,0.081,0.080,0.079,0.079,0.078,,,0.082,0.170,0.143,0.246,0.080,0.085,0.081,0.081,0.080,0.081,,,0.080,0.170,0.146,0.245,0.081,0.081,0.079,0.081,0.081,0.079,,,0.080,0.079,0.080,0.082,0.080,0.082,0.079,0.080,0.080,0.080,,,,,,,,,,,,,
9:32:04,37.0,,,,,,,,,,,,,,0.080,0.080,0.080,0.079,0.078,0.079,0.080,0.081,0.081,0.080,,,0.080,0.174,0.147,0.253,0.079,0.079,0.079,0.080,0.080,0.080,,,0.079,0.174,0.146,0.253,0.081,0.081,0.080,0.078,0.079,0.078,,,0.082,0.174,0.147,0.255,0.080,0.085,0.081,0.081,0.080,0.080,,,0.080,0.175,0.149,0.253,0.081,0.081,0.079,0.081,0.081,0.078,,,0.080,0.079,0.080,0.083,0.080,0.082,0.079,0.080,0.080,0.080,,,,,,,,,,,,,
9:39:36,37.0,,,,,,,,,,,,,,0.080,0.080,0.080,0.079,0.078,0.079,0.080,0.081,0.081,0.080,,,0.080,0.178,0.150,0.262,0.079,0.079,0.079,0.080,0.080,0.080,,,0.079,0.178,0.149,0.262,0.081,0.081,0.080,0.079,0.079,0.078,,,0.082,0.178,0.149,0.264,0.080,0.085,0.080,0.081,0.080,0.080,,,0.080,0.179,0.152,0.262,0.081,0.081,0.079,0.081,0.081,0.079,,,0.080,0.079,0.080,0.082,0.079,0.081,0.079,0.079,0.080,0.080,,,,,,,,,,,,,
9:47:08,37.0,,,,,,,,,,,,,,0.080,0.080,0.079,0.079,0.078,0.079,0.080,0.081,0.081,0.079,,,0.080,0.183,0.153,0.271,0.079,0.079,0.079,0.080,0.080,0.080,,,0.079,0.182,0.152,0.271,0.082,0.081,0.080,0.079,0.079,0.078,,,0.082,0.183,0.152,0.273,0.080,0.085,0.081,0.081,0.080,0.081,,,0.080,0.183,0.154,0.271,0.081,0.081,0.079,0.081,0.081,0.079,,,0.080,0.079,0.080,0.082,0.080,0.082,0.079,0.080,0.080,0.080,,,,,,,,,,,,,
9:54:40,37.0,,,,,,,,,,,,,,0.080,0.080,0.080,0.079,0.078,0.079,0.080,0.081,0.081,0.079,,,0.080,0.187,0.156,0.280,0.079,0.079,0.079,0.080,0.080,0.080,,,0.080,0.187,0.154,0.280,0.082,0.081,0.080,0.079,0.079,0.078,,,0.082,0.186,0.155,0.282,0.080,0.085,0.081,0.081,0.080,0.081,,,0.080,0.187,0.157,0.280,0.081,0.081,0.079,0.081,0.081,0.079,,,0.080,0.080,0.080,0.083,0.080,0.082,0.079,0.080,0.080,0.080,,,,,,,,,,,,,
10:02:12,37.0,,,,,,,,,,,,,,0.080,0.080,0.079,0.079,0.079,0.079,0.080,0.081,0.081,0.080,,,0.081,0.191,0.159,0.290,0.079,0.079,0.079,0.080,0.080,0.080,,,0.080,0.190,0.157,0.289,0.082,0.081,0.080,0.079,0.079,0.078,,,0.082,0.191,0.158,0.292,0.080,0.085,0.081,0.081,0.080,0.081,,,0.080,0.191,0.160,0.290,0.081,0.082,0.079,0.081,0.081,0.079,,,0.080,0.080,0.080,0.083,0.080,0.082,0.079,0.080,0.080,0.080,,,,,,,,,,,,,
10:09:44,37.0,,,,,,,,,,,,,,0.080,0.080,0.079,0.079,0.078,0.079,0.080,0.081,0.081,0.079,,,0.080,0.194,0.162,0.298,0.079,0.079,0.079,0.080,0.080,0.080,,,0.079,0.194,0.160,0.299,0.082,0.081,0.080,0.079,0.079,0.078,,,0.082,0.194,0.160,0.301,0.080,0.085,0.081,0.081,0.080,0.081,,,0.080,0.195,0.162,0.299,0.081,0.081,0.079,0.081,0.081,0.079,,,0.080,0.080,0.080,0.083,0.080,0.081,0.079,0.080,0.080,0.080,,,,,,,,,,,,,
10:17:16,37.0,,,,,,,,,,,,,,0.080,0.080,0.080,0.079,0.078,0.079,0.080,0.081,0.081,0.080,,,0.080,0.198,0.164,0.308,0.079,0.079,0.079,0.080,0.080,0.081,,,0.080,0.198,0.162,0.308,0.081,0.081,0.080,0.078,0.079,0.078,,,0.082,0.198,0.163,0.310,0.080,0.085,0.081,0.081,0.080,0.081,,,0.080,0.199,0.165,0.308,0.081,0.081,0.079,0.081,0.081,0.079,,,0.080,0.080,0.080,0.083,0.080,0.082,0.079,0.080,0.080,0.080,,,,,,,,,,,,,
10:24:48,37.0,,,,,,,,,,,,,,0.080,0.080,0.079,0.079,0.078,0.079,0.080,0.081,0.081,0.080,,,0.081,0.202,0.167,0.317,0.079,0.079,0.079,0.080,0.080,0.080,,,0.080,0.202,0.164,0.317,0.082,0.081,0.080,0.079,0.079,0.078,,,0.082,0.202,0.165,0.319,0.080,0.086,0.081,0.081,0.080,0.081,,,0.080,0.203,0.167,0.317,0.081,0.081,0.079,0.081,0.081,0.079,,,0.080,0.080,0.080,0.083,0.080,0.082,0.079,0.080,0.080,0.080,,,,,,,,,,,,,
10:32:20,37.0,,,,,,,,,,,,,,0.080,0.080,0.080,0.079,0.078,0.079,0.080,0.081,0.081,0.080,,,0.080,0.206,0.169,0.325,0.079,0.079,0.079,0.080,0.080,0.081,,,0.080,0.205,0.167,0.326,0.082,0.081,0.080,0.079,0.079,0.078,,,0.082,0.206,0.168,0.328,0.080,0.086,0.081,0.081,0.080,0.080,,,0.080,0.206,0.170,0.325,0.081,0.081,0.079,0.081,0.081,0.079,,,0.080,0.080,0.080,0.083,0.080,0.082,0.079,0.080,0.080,0.080,,,,,,,,,,,,,
10:39:52,37.0,,,,,,,,,,,,,,0.080,0.080,0.080,0.079,0.078,0.079,0.080,0.081,0.081,0.080,,,0.080,0.209,0.171,0.333,0.079,0.079,0.079,0.080,0.080,0.081,,,0.079,0.209,0.169,0.334,0.082,0.081,0.080,0.079,0.079,0.078,,,0.082,0.209,0.170,0.336,0.080,0.086,0.081,0.081,0.080,0.081,,,0.080,0.210,0.172,0.334,0.081,0.081,0.079,0.081,0.081,0.079,,,0.080,0.079,0.080,0.082,0.080,0.082,0.079,0.080,0.080,0.080,,,,,,,,,,,,,
10:47:24,37.0,,,,,,,,,,,,,,0.080,0.080,0.079,0.079,0.078,0.079,0.080,0.081,0.081,0.079,,,0.080,0.212,0.173,0.341,0.079,0.079,0.079,0.080,0.080,0.080,,,0.079,0.212,0.171,0.342,0.082,0.081,0.080,0.079,0.079,0.078,,,0.082,0.212,0.172,0.343,0.080,0.086,0.081,0.081,0.080,0.081,,,0.080,0.213,0.174,0.342,0.081,0.081,0.079,0.081,0.081,0.079,,,0.080,0.080,0.080,0.083,0.080,0.082,0.079,0.080,0.080,0.080,,,,,,,,,,,,,
10:54:56,36.9,,,,,,,,,,,,,,0.080,0.080,0.079,0.079,0.078,0.079,0.080,0.081,0.081,0.080,,,0.080,0.216,0.176,0.349,0.079,0.079,0.079,0.080,0.080,0.080,,,0.079,0.216,0.173,0.350,0.082,0.081,0.080,0.079,0.079,0.078,,,0.082,0.216,0.174,0.351,0.080,0.086,0.081,0.081,0.080,0.081,,,0.080,0.216,0.176,0.350,0.081,0.081,0.079,0.081,0.081,0.079,,,0.080,0.080,0.080,0.083,0.080,0.082,0.079,0.080,0.080,0.080,,,,,,,,,,,,,
11:02:28,37.0,,,,,,,,,,,,,,0.080,0.080,0.080,0.079,0.078,0.079,0.080,0.082,0.081,0.080,,,0.080,0.219,0.178,0.357,0.079,0.079,0.079,0.080,0.080,0.080,,,0.079,0.218,0.175,0.357,0.082,0.081,0.080,0.079,0.079,0.078,,,0.082,0.219,0.176,0.359,0.080,0.086,0.081,0.082,0.080,0.081,,,0.080,0.220,0.178,0.358,0.082,0.081,0.079,0.081,0.081,0.079,,,0.080,0.080,0.080,0.083,0.080,0.082,0.079,0.080,0.080,0.080,,,,,,,,,,,,,
11:10:00,37.0,,,,,,,,,,,,,,0.080,0.080,0.080,0.079,0.078,0.079,0.080,0.081,0.081,0.080,,,0.080,0.222,0.179,0.364,0.079,0.079,0.079,0.080,0.080,0.081,,,0.079,0.222,0.177,0.365,0.082,0.081,0.080,0.079,0.079,0.078,,,0.082,0.222,0.178,0.366,0.080,0.087,0.081,0.081,0.080,0.081,,,0.080,0.223,0.180,0.365,0.081,0.081,0.079,0.081,0.081,0.079,,,0.080,0.080,0.081,0.083,0.080,0.082,0.079,0.080,0.080,0.080,,,,,,,,,,,,,
