well,od_600nm,strain,water_source,micronutrients,replicate,growth_medium,date,run_number,elapsed_time_hr,avg_blank_value
F10,0.094,WT,Carboy,False,4,acetate,2021-08-06,1,2.7622222222222224,0.07896428571428572
C3,0.088,WT,CCSR,True,1,acetate,2021-08-06,1,2.887777777777778,0.07885714285714286
C4,0.089,WT,CCSR,True,2,acetate,2021-08-06,1,2.887777777777778,0.07885714285714286
C5,0.088,WT,CCSR,True,3,acetate,2021-08-06,1,2.887777777777778,0.07885714285714286
C6,0.087,WT,CCSR,True,4,acetate,2021-08-06,1,2.887777777777778,0.07885714285714286
C7,0.087,WT,MQ-,True,1,acetate,2021-08-06,1,2.887777777777778,0.07885714285714286
C8,0.087,WT,MQ-,True,2,acetate,2021-08-06,1,2.887777777777778,0.07885714285714286
C9,0.089,WT,MQ-,True,3,acetate,2021-08-06,1,2.887777777777778,0.07885714285714286
C10,0.088,WT,MQ-,True,4,acetate,2021-08-06,1,2.887777777777778,0.07885714285714286
D3,0.088,WT,CCSR,False,1,acetate,2021-08-06,1,2.887777777777778,0.07885714285714286
D4,0.087,WT,CCSR,False,2,acetate,2021-08-06,1,2.887777777777778,0.07885714285714286
D5,0.087,WT,CCSR,False,3,acetate,2021-08-06,1,2.887777777777778,0.07885714285714286
D6,0.089,WT,CCSR,False,4,acetate,2021-08-06,1,2.887777777777778,0.07885714285714286
D7,0.093,WT,MQ-,False,1,acetate,2021-08-06,1,2.887777777777778,0.07885714285714286
D8,0.092,WT,MQ-,False,2,acetate,2021-08-06,1,2.887777777777778,0.07885714285714286
D9,0.091,WT,MQ-,False,3,acetate,2021-08-06,1,2.887777777777778,0.07885714285714286
D10,0.093,WT,MQ-,False,4,acetate,2021-08-06,1,2.887777777777778,0.07885714285714286
E3,0.087,WT,MQ+,True,1,acetate,2021-08-06,1,2.887777777777778,0.07885714285714286
E4,0.086,WT,MQ+,True,2,acetate,2021-08-06,1,2.887777777777778,0.07885714285714286
E5,0.087,WT,MQ+,True,3,acetate,2021-08-06,1,2.887777777777778,0.07885714285714286
E6,0.087,WT,MQ+,True,4,acetate,2021-08-06,1,2.887777777777778,0.07885714285714286
E7,0.086,WT,Carboy,True,1,acetate,2021-08-06,1,2.887777777777778,0.07885714285714286
E8,0.087,WT,Carboy,True,2,acetate,2021-08-06,1,2.887777777777778,0.07885714285714286
E9,0.089,WT,Carboy,True,3,acetate,2021-08-06,1,2.887777777777778,0.07885714285714286
E10,0.087,WT,Carboy,True,4,acetate,2021-08-06,1,2.887777777777778,0.07885714285714286
F3,0.094,WT,MQ+,False,1,acetate,2021-08-06,1,2.887777777777778,0.07885714285714286
F4,0.095,WT,MQ+,False,2,acetate,2021-08-06,1,2.887777777777778,0.07885714285714286
F5,0.094,WT,MQ+,False,3,acetate,2021-08-06,1,2.887777777777778,0.07885714285714286
F6,0.095,WT,MQ+,False,4,acetate,2021-08-06,1,2.887777777777778,0.07885714285714286
F7,0.094,WT,Carboy,False,1,acetate,2021-08-06,1,2.887777777777778,0.07885714285714286
F8,0.091,WT,Carboy,False,2,acetate,2021-08-06,1,2.887777777777778,0.07885714285714286
F9,0.094,WT,Carboy,False,3,acetate,2021-08-06,1,2.887777777777778,0.07885714285714286
F10,0.094,WT,Carboy,False,4,acetate,2021-08-06,1,2.887777777777778,0.07885714285714286
C3,0.088,WT,CCSR,True,1,acetate,2021-08-06,1,3.013333333333333,0.07903571428571429
C4,0.09,WT,CCSR,True,2,acetate,2021-08-06,1,3.013333333333333,0.07903571428571429
C5,0.089,WT,CCSR,True,3,acetate,2021-08-06,1,3.013333333333333,0.07903571428571429
C6,0.087,WT,CCSR,True,4,acetate,2021-08-06,1,3.013333333333333,0.07903571428571429
C7,0.087,WT,MQ-,True,1,acetate,2021-08-06,1,3.013333333333333,0.07903571428571429
C8,0.087,WT,MQ-,True,2,acetate,2021-08-06,1,3.013333333333333,0.07903571428571429
C9,0.089,WT,MQ-,True,3,acetate,2021-08-06,1,3.013333333333333,0.07903571428571429
C10,0.089,WT,MQ-,True,4,acetate,2021-08-06,1,3.013333333333333,0.07903571428571429
D3,0.088,WT,CCSR,False,1,acetate,2021-08-06,1,3.013333333333333,0.07903571428571429
D4,0.087,WT,CCSR,False,2,acetate,2021-08-06,1,3.013333333333333,0.07903571428571429
D5,0.087,WT,CCSR,False,3,acetate,2021-08-06,1,3.013333333333333,0.07903571428571429
D6,0.089,WT,CCSR,False,4,acetate,2021-08-06,1,3.013333333333333,0.07903571428571429
D7,0.094,WT,MQ-,False,1,acetate,2021-08-06,1,3.013333333333333,0.07903571428571429
D8,0.093,WT,MQ-,False,2,acetate,2021-08-06,1,3.013333333333333,0.07903571428571429
D9,0.092,WT,MQ-,False,3,acetate,2021-08-06,1,3.013333333333333,0.07903571428571429
D10,0.093,WT,MQ-,False,4,acetate,2021-08-06,1,3.013333333333333,0.07903571428571429
E3,0.087,WT,MQ+,True,1,acetate,2021-08-06,1,3.013333333333333,0.07903571428571429
E4,0.087,WT,MQ+,True,2,acetate,2021-08-06,1,3.013333333333333,0.07903571428571429
E5,0.088,WT,MQ+,True,3,acetate,2021-08-06,1,3.013333333333333,0.07903571428571429
E6,0.087,WT,MQ+,True,4,acetate,2021-08-06,1,3.013333333333333,0.07903571428571429
E7,0.087,WT,Carboy,True,1,acetate,2021-08-06,1,3.013333333333333,0.07903571428571429
E8,0.088,WT,Carboy,True,2,acetate,2021-08-06,1,3.013333333333333,0.07903571428571429
E9,0.089,WT,Carboy,True,3,acetate,2021-08-06,1,3.013333333333333,0.07903571428571429
E10,0.088,WT,Carboy,True,4,acetate,2021-08-06,1,3.013333333333333,0.07903571428571429
F3,0.095,WT,MQ+,False,1,acetate,2021-08-06,1,3.013333333333333,0.07903571428571429
F4,0.095,WT,MQ+,False,2,acetate,2021-08-06,1,3.013333333333333,0.07903571428571429
F5,0.095,WT,MQ+,False,3,acetate,2021-08-06,1,3.013333333333333,0.07903571428571429
F6,0.095,WT,MQ+,False,4,acetate,2021-08-06,1,3.013333333333333,0.07903571428571429
F7,0.095,WT,Carboy,False,1,acetate,2021-08-06,1,3.013333333333333,0.07903571428571429
F8,0.092,WT,Carboy,False,2,acetate,2021-08-06,1,3.013333333333333,0.07903571428571429
F9,0.095,WT,Carboy,False,3,acetate,2021-08-06,1,3.013333333333333,0.07903571428571429
F10,0.095,WT,Carboy,False,4,acetate,2021-08-06,1,3.013333333333333,0.07903571428571429
C3,0.089,WT,CCSR,True,1,acetate,2021-08-06,1,3.138888888888889,0.07900000000000003
C4,0.09,WT,CCSR,True,2,acetate,2021-08-06,1,3.138888888888889,0.07900000000000003
C5,0.089,WT,CCSR,True,3,acetate,2021-08-06,1,3.138888888888889,0.07900000000000003
C6,0.087,WT,CCSR,True,4,acetate,2021-08-06,1,3.138888888888889,0.07900000000000003
C7,0.087,WT,MQ-,True,1,acetate,2021-08-06,1,3.138888888888889,0.07900000000000003
C8,0.087,WT,MQ-,True,2,acetate,2021-08-06,1,3.138888888888889,0.07900000000000003
C9,0.09,WT,MQ-,True,3,acetate,2021-08-06,1,3.138888888888889,0.07900000000000003
C10,0.089,WT,MQ-,True,4,acetate,2021-08-06,1,3.138888888888889,0.07900000000000003
D3,0.088,WT,CCSR,False,1,acetate,2021-08-06,1,3.138888888888889,0.07900000000000003
D4,0.087,WT,CCSR,False,2,acetate,2021-08-06,1,3.138888888888889,0.07900000000000003
D5,0.087,WT,CCSR,False,3,acetate,2021-08-06,1,3.138888888888889,0.07900000000000003
D6,0.089,WT,CCSR,False,4,acetate,2021-08-06,1,3.138888888888889,0.07900000000000003
D7,0.094,WT,MQ-,False,1,acetate,2021-08-06,1,3.138888888888889,0.07900000000000003
D8,0.093,WT,MQ-,False,2,acetate,2021-08-06,1,3.138888888888889,0.07900000000000003
D9,0.092,WT,MQ-,False,3,acetate,2021-08-06,1,3.138888888888889,0.07900000000000003
D10,0.093,WT,MQ-,False,4,acetate,2021-08-06,1,3.138888888888889,0.07900000000000003
E3,0.087,WT,MQ+,True,1,acetate,2021-08-06,1,3.138888888888889,0.07900000000000003
E4,0.087,WT,MQ+,True,2,acetate,2021-08-06,1,3.138888888888889,0.07900000000000003
E5,0.088,WT,MQ+,True,3,acetate,2021-08-06,1,3.138888888888889,0.07900000000000003
E6,0.087,WT,MQ+,True,4,acetate,2021-08-06,1,3.138888888888889,0.07900000000000003
E7,0.087,WT,Carboy,True,1,acetate,2021-08-06,1,3.138888888888889,0.07900000000000003
E8,0.088,WT,Carboy,True,2,acetate,2021-08-06,1,3.138888888888889,0.07900000000000003
E9,0.089,WT,Carboy,True,3,acetate,2021-08-06,1,3.138888888888889,0.07900000000000003
E10,0.088,WT,Carboy,True,4,acetate,2021-08-06,1,3.138888888888889,0.07900000000000003
F3,0.095,WT,MQ+,False,1,acetate,2021-08-06,1,3.138888888888889,0.07900000000000003
F4,0.096,WT,MQ+,False,2,acetate,2021-08-06,1,3.138888888888889,0.07900000000000003
F5,0.095,WT,MQ+,False,3,acetate,2021-08-06,1,3.138888888888889,0.07900000000000003
F6,0.096,WT,MQ+,False,4,acetate,2021-08-06,1,3.138888888888889,0.07900000000000003
F7,0.095,WT,Carboy,False,1,acetate,2021-08-06,1,3.138888888888889,0.07900000000000003
F8,0.092,WT,Carboy,False,2,acetate,2021-08-06,1,3.138888888888889,0.07900000000000003
F9,0.095,WT,Carboy,False,3,acetate,2021-08-06,1,3.138888888888889,0.07900000000000003
F10,0.095,WT,Carboy,False,4,acetate,2021-08-06,1,3.138888888888889,0.07900000000000003
C3,0.089,WT,CCSR,True,1,acetate,2021-08-06,1,3.2644444444444445,0.0790357142857143
C4,0.09,WT,CCSR,True,2,acetate,2021-08-06,1,3.2644444444444445,0.0790357142857143
C5,0.089,WT,CCSR,True,3,acetate,2021-08-06,1,3.2644444444444445,0.0790357142857143
C6,0.088,WT,CCSR,True,4,acetate,2021-08-06,1,3.2644444444444445,0.0790357142857143
C7,0.088,WT,MQ-,True,1,acetate,2021-08-06,1,3.2644444444444445,0.0790357142857143
C8,0.088,WT,MQ-,True,2,acetate,2021-08-06,1,3.2644444444444445,0.0790357142857143
C9,0.09,WT,MQ-,True,3,acetate,2021-08-06,1,3.2644444444444445,0.0790357142857143
C10,0.089,WT,MQ-,True,4,acetate,2021-08-06,1,3.2644444444444445,0.0790357142857143
D3,0.088,WT,CCSR,False,1,acetate,2021-08-06,1,3.2644444444444445,0.0790357142857143
D4,0.088,WT,CCSR,False,2,acetate,2021-08-06,1,3.2644444444444445,0.0790357142857143
D5,0.088,WT,CCSR,False,3,acetate,2021-08-06,1,3.2644444444444445,0.0790357142857143
D6,0.089,WT,CCSR,False,4,acetate,2021-08-06,1,3.2644444444444445,0.0790357142857143
D7,0.095,WT,MQ-,False,1,acetate,2021-08-06,1,3.2644444444444445,0.0790357142857143
D8,0.094,WT,MQ-,False,2,acetate,2021-08-06,1,3.2644444444444445,0.0790357142857143
D9,0.092,WT,MQ-,False,3,acetate,2021-08-06,1,3.2644444444444445,0.0790357142857143
D10,0.094,WT,MQ-,False,4,acetate,2021-08-06,1,3.2644444444444445,0.0790357142857143
E3,0.088,WT,MQ+,True,1,acetate,2021-08-06,1,3.2644444444444445,0.0790357142857143
E4,0.088,WT,MQ+,True,2,acetate,2021-08-06,1,3.2644444444444445,0.0790357142857143
E5,0.089,WT,MQ+,True,3,acetate,2021-08-06,1,3.2644444444444445,0.0790357142857143
E6,0.088,WT,MQ+,True,4,acetate,2021-08-06,1,3.2644444444444445,0.0790357142857143
E7,0.087,WT,Carboy,True,1,acetate,2021-08-06,1,3.2644444444444445,0.0790357142857143
E8,0.088,WT,Carboy,True,2,acetate,2021-08-06,1,3.2644444444444445,0.0790357142857143
E9,0.09,WT,Carboy,True,3,acetate,2021-08-06,1,3.2644444444444445,0.0790357142857143
E10,0.089,WT,Carboy,True,4,acetate,2021-08-06,1,3.2644444444444445,0.0790357142857143
F3,0.095,WT,MQ+,False,1,acetate,2021-08-06,1,3.2644444444444445,0.0790357142857143
F4,0.096,WT,MQ+,False,2,acetate,2021-08-06,1,3.2644444444444445,0.0790357142857143
F5,0.096,WT,MQ+,False,3,acetate,2021-08-06,1,3.2644444444444445,0.0790357142857143
F6,0.096,WT,MQ+,False,4,acetate,2021-08-06,1,3.2644444444444445,0.0790357142857143
F7,0.096,WT,Carboy,False,1,acetate,2021-08-06,1,3.2644444444444445,0.0790357142857143
F8,0.093,WT,Carboy,False,2,acetate,2021-08-06,1,3.2644444444444445,0.0790357142857143
F9,0.095,WT,Carboy,False,3,acetate,2021-08-06,1,3.2644444444444445,0.0790357142857143
F10,0.096,WT,Carboy,False,4,acetate,2021-08-06,1,3.2644444444444445,0.0790357142857143
C3,0.09,WT,CCSR,True,1,acetate,2021-08-06,1,3.39,0.07889285714285714
C4,0.091,WT,CCSR,True,2,acetate,2021-08-06,1,3.39,0.07889285714285714
C5,0.09,WT,CCSR,True,3,acetate,2021-08-06,1,3.39,0.07889285714285714
C6,0.088,WT,CCSR,True,4,acetate,2021-08-06,1,3.39,0.07889285714285714
C7,0.088,WT,MQ-,True,1,acetate,2021-08-06,1,3.39,0.07889285714285714
C8,0.088,WT,MQ-,True,2,acetate,2021-08-06,1,3.39,0.07889285714285714
C9,0.091,WT,MQ-,True,3,acetate,2021-08-06,1,3.39,0.07889285714285714
C10,0.09,WT,MQ-,True,4,acetate,2021-08-06,1,3.39,0.07889285714285714
D3,0.089,WT,CCSR,False,1,acetate,2021-08-06,1,3.39,0.07889285714285714
D4,0.088,WT,CCSR,False,2,acetate,2021-08-06,1,3.39,0.07889285714285714
D5,0.088,WT,CCSR,False,3,acetate,2021-08-06,1,3.39,0.07889285714285714
D6,0.089,WT,CCSR,False,4,acetate,2021-08-06,1,3.39,0.07889285714285714
D7,0.095,WT,MQ-,False,1,acetate,2021-08-06,1,3.39,0.07889285714285714
D8,0.094,WT,MQ-,False,2,acetate,2021-08-06,1,3.39,0.07889285714285714
D9,0.093,WT,MQ-,False,3,acetate,2021-08-06,1,3.39,0.07889285714285714
D10,0.094,WT,MQ-,False,4,acetate,2021-08-06,1,3.39,0.07889285714285714
E3,0.088,WT,MQ+,True,1,acetate,2021-08-06,1,3.39,0.07889285714285714
E4,0.088,WT,MQ+,True,2,acetate,2021-08-06,1,3.39,0.07889285714285714
E5,0.089,WT,MQ+,True,3,acetate,2021-08-06,1,3.39,0.07889285714285714
E6,0.088,WT,MQ+,True,4,acetate,2021-08-06,1,3.39,0.07889285714285714
E7,0.088,WT,Carboy,True,1,acetate,2021-08-06,1,3.39,0.07889285714285714
E8,0.089,WT,Carboy,True,2,acetate,2021-08-06,1,3.39,0.07889285714285714
E9,0.091,WT,Carboy,True,3,acetate,2021-08-06,1,3.39,0.07889285714285714
E10,0.089,WT,Carboy,True,4,acetate,2021-08-06,1,3.39,0.07889285714285714
F3,0.096,WT,MQ+,False,1,acetate,2021-08-06,1,3.39,0.07889285714285714
F4,0.097,WT,MQ+,False,2,acetate,2021-08-06,1,3.39,0.07889285714285714
F5,0.096,WT,MQ+,False,3,acetate,2021-08-06,1,3.39,0.07889285714285714
F6,0.097,WT,MQ+,False,4,acetate,2021-08-06,1,3.39,0.07889285714285714
F7,0.096,WT,Carboy,False,1,acetate,2021-08-06,1,3.39,0.07889285714285714
F8,0.093,WT,Carboy,False,2,acetate,2021-08-06,1,3.39,0.07889285714285714
F9,0.096,WT,Carboy,False,3,acetate,2021-08-06,1,3.39,0.07889285714285714
F10,0.096,WT,Carboy,False,4,acetate,2021-08-06,1,3.39,0.07889285714285714
C3,0.09,WT,CCSR,True,1,acetate,2021-08-06,1,3.5155555555555558,0.079
C4,0.091,WT,CCSR,True,2,acetate,2021-08-06,1,3.5155555555555558,0.079
C5,0.09,WT,CCSR,True,3,acetate,2021-08-06,1,3.5155555555555558,0.079
C6,0.089,WT,CCSR,True,4,acetate,2021-08-06,1,3.5155555555555558,0.079
C7,0.089,WT,MQ-,True,1,acetate,2021-08-06,1,3.5155555555555558,0.079
C8,0.089,WT,MQ-,True,2,acetate,2021-08-06,1,3.5155555555555558,0.079
C9,0.091,WT,MQ-,True,3,acetate,2021-08-06,1,3.5155555555555558,0.079
C10,0.09,WT,MQ-,True,4,acetate,2021-08-06,1,3.5155555555555558,0.079
D3,0.089,WT,CCSR,False,1,acetate,2021-08-06,1,3.5155555555555558,0.079
D4,0.088,WT,CCSR,False,2,acetate,2021-08-06,1,3.5155555555555558,0.079
D5,0.088,WT,CCSR,False,3,acetate,2021-08-06,1,3.5155555555555558,0.079
D6,0.09,WT,CCSR,False,4,acetate,2021-08-06,1,3.5155555555555558,0.079
D7,0.096,WT,MQ-,False,1,acetate,2021-08-06,1,3.5155555555555558,0.079
D8,0.095,WT,MQ-,False,2,acetate,2021-08-06,1,3.5155555555555558,0.079
D9,0.093,WT,MQ-,False,3,acetate,2021-08-06,1,3.5155555555555558,0.079
D10,0.095,WT,MQ-,False,4,acetate,2021-08-06,1,3.5155555555555558,0.079
E3,0.088,WT,MQ+,True,1,acetate,2021-08-06,1,3.5155555555555558,0.079
E4,0.088,WT,MQ+,True,2,acetate,2021-08-06,1,3.5155555555555558,0.079
E5,0.09,WT,MQ+,True,3,acetate,2021-08-06,1,3.5155555555555558,0.079
E6,0.089,WT,MQ+,True,4,acetate,2021-08-06,1,3.5155555555555558,0.079
E7,0.088,WT,Carboy,True,1,acetate,2021-08-06,1,3.5155555555555558,0.079
E8,0.089,WT,Carboy,True,2,acetate,2021-08-06,1,3.5155555555555558,0.079
E9,0.091,WT,Carboy,True,3,acetate,2021-08-06,1,3.5155555555555558,0.079
E10,0.09,WT,Carboy,True,4,acetate,2021-08-06,1,3.5155555555555558,0.079
F3,0.096,WT,MQ+,False,1,acetate,2021-08-06,1,3.5155555555555558,0.079
F4,0.098,WT,MQ+,False,2,acetate,2021-08-06,1,3.5155555555555558,0.079
F5,0.097,WT,MQ+,False,3,acetate,2021-08-06,1,3.5155555555555558,0.079
F6,0.097,WT,MQ+,False,4,acetate,2021-08-06,1,3.5155555555555558,0.079
F7,0.097,WT,Carboy,False,1,acetate,2021-08-06,1,3.5155555555555558,0.079
F8,0.094,WT,Carboy,False,2,acetate,2021-08-06,1,3.5155555555555558,0.079
F9,0.097,WT,Carboy,False,3,acetate,2021-08-06,1,3.5155555555555558,0.079
F10,0.097,WT,Carboy,False,4,acetate,2021-08-06,1,3.5155555555555558,0.079
C3,0.09,WT,CCSR,True,1,acetate,2021-08-06,1,3.641111111111111,0.07889285714285714
C4,0.092,WT,CCSR,True,2,acetate,2021-08-06,1,3.641111111111111,0.07889285714285714
C5,0.09,WT,CCSR,True,3,acetate,2021-08-06,1,3.641111111111111,0.07889285714285714
C6,0.089,WT,CCSR,True,4,acetate,2021-08-06,1,3.641111111111111,0.07889285714285714
C7,0.09,WT,MQ-,True,1,acetate,2021-08-06,1,3.641111111111111,0.07889285714285714
C8,0.089,WT,MQ-,True,2,acetate,2021-08-06,1,3.641111111111111,0.07889285714285714
C9,0.092,WT,MQ-,True,3,acetate,2021-08-06,1,3.641111111111111,0.07889285714285714
C10,0.091,WT,MQ-,True,4,acetate,2021-08-06,1,3.641111111111111,0.07889285714285714
D3,0.089,WT,CCSR,False,1,acetate,2021-08-06,1,3.641111111111111,0.07889285714285714
D4,0.088,WT,CCSR,False,2,acetate,2021-08-06,1,3.641111111111111,0.07889285714285714
D5,0.088,WT,CCSR,False,3,acetate,2021-08-06,1,3.641111111111111,0.07889285714285714
D6,0.09,WT,CCSR,False,4,acetate,2021-08-06,1,3.641111111111111,0.07889285714285714
D7,0.096,WT,MQ-,False,1,acetate,2021-08-06,1,3.641111111111111,0.07889285714285714
D8,0.095,WT,MQ-,False,2,acetate,2021-08-06,1,3.641111111111111,0.07889285714285714
D9,0.094,WT,MQ-,False,3,acetate,2021-08-06,1,3.641111111111111,0.07889285714285714
D10,0.096,WT,MQ-,False,4,acetate,2021-08-06,1,3.641111111111111,0.07889285714285714
E3,0.089,WT,MQ+,True,1,acetate,2021-08-06,1,3.641111111111111,0.07889285714285714
E4,0.089,WT,MQ+,True,2,acetate,2021-08-06,1,3.641111111111111,0.07889285714285714
E5,0.09,WT,MQ+,True,3,acetate,2021-08-06,1,3.641111111111111,0.07889285714285714
E6,0.089,WT,MQ+,True,4,acetate,2021-08-06,1,3.641111111111111,0.07889285714285714
E7,0.089,WT,Carboy,True,1,acetate,2021-08-06,1,3.641111111111111,0.07889285714285714
E8,0.09,WT,Carboy,True,2,acetate,2021-08-06,1,3.641111111111111,0.07889285714285714
E9,0.092,WT,Carboy,True,3,acetate,2021-08-06,1,3.641111111111111,0.07889285714285714
E10,0.09,WT,Carboy,True,4,acetate,2021-08-06,1,3.641111111111111,0.07889285714285714
F3,0.097,WT,MQ+,False,1,acetate,2021-08-06,1,3.641111111111111,0.07889285714285714
F4,0.099,WT,MQ+,False,2,acetate,2021-08-06,1,3.641111111111111,0.07889285714285714
F5,0.097,WT,MQ+,False,3,acetate,2021-08-06,1,3.641111111111111,0.07889285714285714
F6,0.098,WT,MQ+,False,4,acetate,2021-08-06,1,3.641111111111111,0.07889285714285714
F7,0.097,WT,Carboy,False,1,acetate,2021-08-06,1,3.641111111111111,0.07889285714285714
F8,0.095,WT,Carboy,False,2,acetate,2021-08-06,1,3.641111111111111,0.07889285714285714
F9,0.097,WT,Carboy,False,3,acetate,2021-08-06,1,3.641111111111111,0.07889285714285714
F10,0.098,WT,Carboy,False,4,acetate,2021-08-06,1,3.641111111111111,0.07889285714285714
C3,0.091,WT,CCSR,True,1,acetate,2021-08-06,1,3.7666666666666666,0.07896428571428572
C4,0.092,WT,CCSR,True,2,acetate,2021-08-06,1,3.7666666666666666,0.07896428571428572
C5,0.091,WT,CCSR,True,3,acetate,2021-08-06,1,3.7666666666666666,0.07896428571428572
C6,0.09,WT,CCSR,True,4,acetate,2021-08-06,1,3.7666666666666666,0.07896428571428572
C7,0.09,WT,MQ-,True,1,acetate,2021-08-06,1,3.7666666666666666,0.07896428571428572
C8,0.09,WT,MQ-,True,2,acetate,2021-08-06,1,3.7666666666666666,0.07896428571428572
C9,0.093,WT,MQ-,True,3,acetate,2021-08-06,1,3.7666666666666666,0.07896428571428572
C10,0.091,WT,MQ-,True,4,acetate,2021-08-06,1,3.7666666666666666,0.07896428571428572
D3,0.089,WT,CCSR,False,1,acetate,2021-08-06,1,3.7666666666666666,0.07896428571428572
D4,0.089,WT,CCSR,False,2,acetate,2021-08-06,1,3.7666666666666666,0.07896428571428572
D5,0.088,WT,CCSR,False,3,acetate,2021-08-06,1,3.7666666666666666,0.07896428571428572
D6,0.09,WT,CCSR,False,4,acetate,2021-08-06,1,3.7666666666666666,0.07896428571428572
D7,0.097,WT,MQ-,False,1,acetate,2021-08-06,1,3.7666666666666666,0.07896428571428572
D8,0.096,WT,MQ-,False,2,acetate,2021-08-06,1,3.7666666666666666,0.07896428571428572
D9,0.095,WT,MQ-,False,3,acetate,2021-08-06,1,3.7666666666666666,0.07896428571428572
D10,0.096,WT,MQ-,False,4,acetate,2021-08-06,1,3.7666666666666666,0.07896428571428572
E3,0.09,WT,MQ+,True,1,acetate,2021-08-06,1,3.7666666666666666,0.07896428571428572
E4,0.089,WT,MQ+,True,2,acetate,2021-08-06,1,3.7666666666666666,0.07896428571428572
E5,0.091,WT,MQ+,True,3,acetate,2021-08-06,1,3.7666666666666666,0.07896428571428572
E6,0.09,WT,MQ+,True,4,acetate,2021-08-06,1,3.7666666666666666,0.07896428571428572
E7,0.089,WT,Carboy,True,1,acetate,2021-08-06,1,3.7666666666666666,0.07896428571428572
E8,0.09,WT,Carboy,True,2,acetate,2021-08-06,1,3.7666666666666666,0.07896428571428572
E9,0.092,WT,Carboy,True,3,acetate,2021-08-06,1,3.7666666666666666,0.07896428571428572
E10,0.091,WT,Carboy,True,4,acetate,2021-08-06,1,3.7666666666666666,0.07896428571428572
F3,0.097,WT,MQ+,False,1,acetate,2021-08-06,1,3.7666666666666666,0.07896428571428572
F4,0.099,WT,MQ+,False,2,acetate,2021-08-06,1,3.7666666666666666,0.07896428571428572
F5,0.098,WT,MQ+,False,3,acetate,2021-08-06,1,3.7666666666666666,0.07896428571428572
F6,0.099,WT,MQ+,False,4,acetate,2021-08-06,1,3.7666666666666666,0.07896428571428572
F7,0.098,WT,Carboy,False,1,acetate,2021-08-06,1,3.7666666666666666,0.07896428571428572
F8,0.095,WT,Carboy,False,2,acetate,2021-08-06,1,3.7666666666666666,0.07896428571428572
F9,0.098,WT,Carboy,False,3,acetate,2021-08-06,1,3.7666666666666666,0.07896428571428572
F10,0.098,WT,Carboy,False,4,acetate,2021-08-06,1,3.7666666666666666,0.07896428571428572
C3,0.091,WT,CCSR,True,1,acetate,2021-08-06,1,3.8922222222222222,0.07892857142857145
C4,0.093,WT,CCSR,True,2,acetate,2021-08-06,1,3.8922222222222222,0.07892857142857145
C5,0.091,WT,CCSR,True,3,acetate,2021-08-06,1,3.8922222222222222,0.07892857142857145
C6,0.09,WT,CCSR,True,4,acetate,2021-08-06,1,3.8922222222222222,0.07892857142857145
C7,0.091,WT,MQ-,True,1,acetate,2021-08-06,1,3.8922222222222222,0.07892857142857145
C8,0.091,WT,MQ-,True,2,acetate,2021-08-06,1,3.8922222222222222,0.07892857142857145
C9,0.094,WT,MQ-,True,3,acetate,2021-08-06,1,3.8922222222222222,0.07892857142857145
C10,0.092,WT,MQ-,True,4,acetate,2021-08-06,1,3.8922222222222222,0.07892857142857145
D3,0.09,WT,CCSR,False,1,acetate,2021-08-06,1,3.8922222222222222,0.07892857142857145
D4,0.089,WT,CCSR,False,2,acetate,2021-08-06,1,3.8922222222222222,0.07892857142857145
D5,0.089,WT,CCSR,False,3,acetate,2021-08-06,1,3.8922222222222222,0.07892857142857145
D6,0.091,WT,CCSR,False,4,acetate,2021-08-06,1,3.8922222222222222,0.07892857142857145
D7,0.097,WT,MQ-,False,1,acetate,2021-08-06,1,3.8922222222222222,0.07892857142857145
D8,0.096,WT,MQ-,False,2,acetate,2021-08-06,1,3.8922222222222222,0.07892857142857145
D9,0.096,WT,MQ-,False,3,acetate,2021-08-06,1,3.8922222222222222,0.07892857142857145
D10,0.097,WT,MQ-,False,4,acetate,2021-08-06,1,3.8922222222222222,0.07892857142857145
E3,0.09,WT,MQ+,True,1,acetate,2021-08-06,1,3.8922222222222222,0.07892857142857145
E4,0.09,WT,MQ+,True,2,acetate,2021-08-06,1,3.8922222222222222,0.07892857142857145
E5,0.091,WT,MQ+,True,3,acetate,2021-08-06,1,3.8922222222222222,0.07892857142857145
E6,0.09,WT,MQ+,True,4,acetate,2021-08-06,1,3.8922222222222222,0.07892857142857145
E7,0.09,WT,Carboy,True,1,acetate,2021-08-06,1,3.8922222222222222,0.07892857142857145
E8,0.091,WT,Carboy,True,2,acetate,2021-08-06,1,3.8922222222222222,0.07892857142857145
E9,0.093,WT,Carboy,True,3,acetate,2021-08-06,1,3.8922222222222222,0.07892857142857145
E10,0.091,WT,Carboy,True,4,acetate,2021-08-06,1,3.8922222222222222,0.07892857142857145
F3,0.098,WT,MQ+,False,1,acetate,2021-08-06,1,3.8922222222222222,0.07892857142857145
F4,0.1,WT,MQ+,False,2,acetate,2021-08-06,1,3.8922222222222222,0.07892857142857145
F5,0.099,WT,MQ+,False,3,acetate,2021-08-06,1,3.8922222222222222,0.07892857142857145
F6,0.1,WT,MQ+,False,4,acetate,2021-08-06,1,3.8922222222222222,0.07892857142857145
F7,0.098,WT,Carboy,False,1,acetate,2021-08-06,1,3.8922222222222222,0.07892857142857145
F8,0.096,WT,Carboy,False,2,acetate,2021-08-06,1,3.8922222222222222,0.07892857142857145
